language,tokenizer,corpus_fraction,lines_processed,characters_processed,tokens_processed,unique_tokens_observed,total_tokenizer_vocab,vocab_coverage_percent,new_unique_tokens,additional_tokens_processed,marginal_growth,marginal_growth_relative,initial_marginal_growth
English,LLaMA,0.01,50,1626382,345506,25038,128256,19.52189371257485,25038.0,345506.0,0.07246762719026587,1.0,0.07246762719026587
English,LLaMA,0.02,100,3229435,688057,32541,128256,25.371912425149702,7503.0,342551.0,0.0219033078286153,0.30224955166680884,0.07246762719026587
English,LLaMA,0.05,250,7198890,1565539,42184,128256,32.890469061876246,9643.0,877482.0,0.010989399212747384,0.15164563321349542,0.07246762719026587
English,LLaMA,0.1,500,12565480,2775358,47853,128256,37.310535179640716,5669.0,1209819.0,0.004685824904386524,0.06466094014757451,0.07246762719026587
English,LLaMA,0.2,1000,22950073,5080976,53773,128256,41.92630364271457,5920.0,2305618.0,0.0025676413005103187,0.03543156303115737,0.07246762719026587
English,LLaMA,0.4,2000,43734164,9629782,59233,128256,46.183414421157686,5460.0,4548806.0,0.0012003149837561768,0.016563464684785593,0.07246762719026587
English,LLaMA,0.6,3000,60778958,13265386,61650,128256,48.06792664670659,2417.0,3635604.0,0.0006648138796194525,0.009173942978344857,0.07246762719026587
English,LLaMA,0.8,4000,64735052,14165074,62459,128256,48.69869635728543,809.0,899688.0,0.000899200611767635,0.012408307635170082,0.07246762719026587
English,LLaMA,1.0,5000,69550396,15257212,63357,128256,49.398858532934135,898.0,1092138.0,0.0008222404128416007,0.011346313446730974,0.07246762719026587
English,Qwen,0.01,50,1626382,355365,24483,151665,16.14281475620611,24483.0,355365.0,0.0688953611075936,1.0,0.0688953611075936
English,Qwen,0.02,100,3229435,708937,31719,151665,20.913856196221936,7236.0,353572.0,0.020465421470025908,0.2970507903727385,0.0688953611075936
English,Qwen,0.05,250,7198890,1624310,40907,151665,26.97194474664557,9188.0,915373.0,0.010037438290183345,0.1456910614708575,0.0688953611075936
English,Qwen,0.1,500,12565480,2891252,46326,151665,30.54495104341806,5419.0,1266942.0,0.004277228160405133,0.062082963085503,0.0688953611075936
English,Qwen,0.2,1000,22950073,5301475,52131,151665,34.372465631490456,5805.0,2410223.0,0.0024084908325910093,0.034958679276383776,0.0688953611075936
English,Qwen,0.4,2000,43734164,10018847,57388,151665,37.83865756766558,5257.0,4717372.0,0.0011143916570497303,0.016175133407159148,0.0688953611075936
English,Qwen,0.6,3000,60778958,13790859,59690,151665,39.356476444796094,2302.0,3772012.0,0.0006102843787347442,0.008858134552508777,0.0688953611075936
English,Qwen,0.8,4000,64735052,14736001,60422,151665,39.839119111199025,732.0,945142.0,0.0007744867966929837,0.01124149411864568,0.0688953611075936
English,Qwen,1.0,5000,69550396,15885255,61260,151665,40.391652655523686,838.0,1149254.0,0.0007291686607138196,0.010583712008927276,0.0688953611075936
English,Kimi,0.01,50,1626382,347639,24740,163840,15.10009765625,24740.0,347639.0,0.07116577829299935,1.0,0.07116577829299935
English,Kimi,0.02,100,3229435,690811,32037,163840,19.5538330078125,7297.0,343172.0,0.021263389787045565,0.2987867244211291,0.07116577829299935
English,Kimi,0.05,250,7198890,1572809,41108,163840,25.09033203125,9071.0,881998.0,0.01028460381996331,0.14451614338594282,0.07116577829299935
English,Kimi,0.1,500,12565480,2785852,46363,163840,28.2977294921875,5255.0,1213043.0,0.004332080561035347,0.06087308626345057,0.07116577829299935
English,Kimi,0.2,1000,22950073,5098319,51834,163840,31.636962890625,5471.0,2312467.0,0.002365871599464987,0.03324451240769639,0.07116577829299935
English,Kimi,0.4,2000,43734164,9658895,56759,163840,34.6429443359375,4925.0,4560576.0,0.0010799074502869813,0.015174532987482453,0.07116577829299935
English,Kimi,0.6,3000,60778958,13304974,58851,163840,35.9197998046875,2092.0,3646079.0,0.0005737670522224011,0.008062401142584611,0.07116577829299935
English,Kimi,0.8,4000,64735052,14207042,59440,163840,36.279296875,589.0,902068.0,0.0006529441239463101,0.009174973415706196,0.07116577829299935
English,Kimi,1.0,5000,69550396,15303173,60196,163840,36.74072265625,756.0,1096131.0,0.0006896985852968304,0.00969143599409882,0.07116577829299935
